C-VPIZR-0;C-VPI1-0;F-VPIMZBM;F-VPIMZVM;F-VPIMZVJM;F-VPIPZVM;F-VPIPZVJM
VPIZR-200101;VPI-0;101,50000;101,40000;98,50000;0,10000;3,00000
VPIZR-200102;VPI-0;101,80000;101,50000;99,20000;0,30000;2,60000
VPIZR-200103;VPI-0;102,00000;101,80000;99,30000;0,20000;2,70000
VPIZR-200104;VPI-0;102,50000;102,00000;99,50000;0,50000;3,00000
VPIZR-200105;VPI-0;102,70000;102,50000;99,30000;0,20000;3,40000
VPIZR-200106;VPI-0;102,90000;102,70000;100,10000;0,20000;2,80000
VPIZR-200107;VPI-0;103,00000;102,90000;100,20000;0,10000;2,80000
VPIZR-200108;VPI-0;102,80000;103,00000;100,30000;-0,20000;2,50000
VPIZR-200109;VPI-0;103,10000;102,80000;100,50000;0,30000;2,60000
VPIZR-200110;VPI-0;103,20000;103,10000;100,70000;0,10000;2,50000
VPIZR-200111;VPI-0;103,10000;103,20000;101,00000;-0,10000;2,10000
VPIZR-200112;VPI-0;103,30000;103,10000;101,40000;0,20000;1,90000
VPIZR-2001;VPI-0;102,70000;0,00000;100,00000;0,00000;2,70000
VPIZR-200201;VPI-0;103,60000;103,30000;101,50000;0,30000;2,10000
VPIZR-200202;VPI-0;103,70000;103,60000;101,80000;0,10000;1,90000
VPIZR-200203;VPI-0;103,90000;103,70000;102,00000;0,20000;1,90000
VPIZR-200204;VPI-0;104,30000;103,90000;102,50000;0,40000;1,80000
VPIZR-200205;VPI-0;104,60000;104,30000;102,70000;0,30000;1,90000
VPIZR-200206;VPI-0;104,70000;104,60000;102,90000;0,10000;1,70000
VPIZR-200207;VPI-0;104,60000;104,70000;103,00000;-0,10000;1,60000
VPIZR-200208;VPI-0;104,80000;104,60000;102,80000;0,20000;1,90000
VPIZR-200209;VPI-0;104,80000;104,80000;103,10000;0,00000;1,60000
VPIZR-200210;VPI-0;105,00000;104,80000;103,20000;0,20000;1,70000
VPIZR-200211;VPI-0;104,90000;105,00000;103,10000;-0,10000;1,70000
VPIZR-200212;VPI-0;105,20000;104,90000;103,30000;0,30000;1,80000
VPIZR-2002;VPI-0;104,50000;0,00000;102,70000;0,00000;1,80000
VPIZR-200301;VPI-0;105,40000;105,20000;103,60000;0,20000;1,70000
VPIZR-200302;VPI-0;105,50000;105,40000;103,70000;0,10000;1,70000
VPIZR-200303;VPI-0;105,80000;105,50000;103,90000;0,30000;1,80000
VPIZR-200304;VPI-0;105,70000;105,80000;104,30000;-0,10000;1,30000
VPIZR-200305;VPI-0;105,70000;105,70000;104,60000;0,00000;1,10000
VPIZR-200306;VPI-0;105,90000;105,70000;104,70000;0,20000;1,10000
VPIZR-200307;VPI-0;105,80000;105,90000;104,60000;-0,10000;1,10000
VPIZR-200308;VPI-0;106,10000;105,80000;104,80000;0,30000;1,20000
VPIZR-200309;VPI-0;106,30000;106,10000;104,80000;0,20000;1,40000
VPIZR-200310;VPI-0;106,10000;106,30000;105,00000;-0,20000;1,00000
VPIZR-200311;VPI-0;106,30000;106,10000;104,90000;0,20000;1,30000
