C-VPIZR-0;C-VPI5NEU-0;F-VPIMZBM;F-VPIMZVM;F-VPIMZVJM;F-VPIPZVM;F-VPIPZVJM;F-VPIEFVM;F-VPIEFVJM;F-VPIGEWBM
VPIZR-202101;VPI-0;100,30000;101,10000;99,50000;-0,80000;0,80000;-0,78200;0,80000;100,00000
VPIZR-202101;VPI-01;97,60000;100,80000;98,70000;-3,20000;-1,10000;-0,36300;-0,11500;11,31826
VPIZR-202101;VPI-02;101,00000;99,30000;99,50000;1,70000;1,50000;0,05800;0,04900;3,44519
VPIZR-202101;VPI-03;96,80000;106,40000;95,10000;-9,00000;1,80000;-0,43400;0,07500;4,76507
VPIZR-202101;VPI-04;101,50000;100,70000;99,40000;0,80000;2,10000;0,14800;0,38000;18,70156
VPIZR-202101;VPI-05;100,00000;100,00000;99,60000;0,00000;0,40000;0,00100;0,02500;6,48018
VPIZR-202101;VPI-06;100,50000;100,30000;99,20000;0,20000;1,30000;0,01400;0,07000;5,59899
VPIZR-202101;VPI-07;101,10000;100,00000;102,90000;1,10000;-1,70000;0,14600;-0,20400;13,75484
VPIZR-202101;VPI-08;96,50000;99,80000;100,40000;-3,30000;-3,90000;-0,07200;-0,07800;2,15943
VPIZR-202101;VPI-09;100,60000;102,60000;98,90000;-1,90000;1,70000;-0,23200;0,17400;11,39863
VPIZR-202101;VPI-10;101,30000;101,30000;99,40000;0,00000;1,90000;0,00000;0,02100;0,98951
VPIZR-202101;VPI-11;101,10000;101,70000;98,70000;-0,60000;2,40000;-0,08000;0,28300;12,51000
VPIZR-202101;VPI-12;100,70000;100,40000;99,30000;0,30000;1,40000;0,03200;0,12300;8,87834
VPIZR-202102;VPI-0;100,80000;100,30000;99,60000;0,50000;1,20000;0,51700;1,20000;100,00000
VPIZR-202102;VPI-01;100,90000;97,60000;99,30000;3,40000;1,60000;0,37500;0,18300;11,31826
VPIZR-202102;VPI-02;100,60000;101,00000;100,00000;-0,40000;0,60000;-0,01500;0,02000;3,44519
VPIZR-202102;VPI-03;89,40000;96,80000;91,70000;-7,60000;-2,50000;-0,33300;-0,09900;4,76507
VPIZR-202102;VPI-04;102,10000;101,50000;99,50000;0,60000;2,60000;0,10600;0,49500;18,70156
VPIZR-202102;VPI-05;99,60000;100,00000;100,10000;-0,40000;-0,50000;-0,03000;-0,03300;6,48018
VPIZR-202102;VPI-06;101,00000;100,50000;99,60000;0,50000;1,40000;0,02400;0,07800;5,59899
VPIZR-202102;VPI-07;102,30000;101,10000;101,90000;1,20000;0,40000;0,16300;0,07300;13,75484
VPIZR-202102;VPI-08;96,50000;96,50000;100,30000;0,00000;-3,80000;-0,00200;-0,08200;2,15943
VPIZR-202102;VPI-09;101,80000;100,60000;100,30000;1,20000;1,50000;0,13000;0,16000;11,39863
VPIZR-202102;VPI-10;101,30000;101,30000;99,60000;0,00000;1,70000;0,00000;0,02100;0,98951
VPIZR-202102;VPI-11;101,80000;101,10000;99,70000;0,70000;2,10000;0,09000;0,25800;12,51000
VPIZR-202102;VPI-12;100,90000;100,70000;99,40000;0,20000;1,50000;0,00900;0,12500;8,87834
VPIZR-202103;VPI-0;101,90000;100,80000;99,90000;1,10000;2,00000;1,00100;2,00000;100,00000
VPIZR-202103;VPI-01;100,90000;100,90000;99,70000;0,00000;1,20000;-0,01300;0,14000;11,31826
VPIZR-202103;VPI-02;101,80000;100,60000;99,80000;1,20000;2,00000;0,04000;0,06700;3,44519
VPIZR-202103;VPI-03;102,40000;89,40000;104,10000;14,50000;-1,60000;0,57800;-0,08000;4,76507
VPIZR-202103;VPI-04;102,30000;102,10000;99,40000;0,20000;2,90000;0,03800;0,56400;18,70156
VPIZR-202103;VPI-05;101,20000;99,60000;100,70000;1,60000;0,50000;0,10500;0,03300;6,48018
VPIZR-202103;VPI-06;101,10000;101,00000;99,90000;0,10000;1,20000;0,00400;0,07000;5,59899
VPIZR-202103;VPI-07;103,90000;102,30000;100,30000;1,60000;3,60000;0,22400;0,52700;13,75484
VPIZR-202103;VPI-08;96,70000;96,50000;99,90000;0,20000;-3,20000;0,00400;-0,07200;2,15943
