C-VPIZR-0;C-VPI1-0;F-VPIMZBM
VPIZR-197701;VPI-0;103,50000
VPIZR-197702;VPI-0;104,10000
VPIZR-197703;VPI-0;104,40000
VPIZR-197704;VPI-0;104,60000
VPIZR-197705;VPI-0;104,90000
VPIZR-197706;VPI-0;105,90000
VPIZR-197707;VPI-0;106,30000
VPIZR-197708;VPI-0;106,40000
VPIZR-197709;VPI-0;106,20000
VPIZR-197710;VPI-0;106,70000
VPIZR-197711;VPI-0;106,20000
VPIZR-197712;VPI-0;106,50000
VPIZR-1977;VPI-0;105,50000
VPIZR-197801;VPI-0;107,60000
VPIZR-197802;VPI-0;108,10000
VPIZR-197803;VPI-0;108,40000
VPIZR-197804;VPI-0;108,70000
VPIZR-197805;VPI-0;108,90000
VPIZR-197806;VPI-0;109,30000
VPIZR-197807;VPI-0;109,50000
VPIZR-197808;VPI-0;110,20000
VPIZR-197809;VPI-0;109,80000
VPIZR-197810;VPI-0;110,00000
VPIZR-197811;VPI-0;110,10000
VPIZR-197812;VPI-0;110,40000
VPIZR-1978;VPI-0;109,30000
VPIZR-197901;VPI-0;111,40000
VPIZR-197902;VPI-0;112,00000
VPIZR-197903;VPI-0;112,20000
VPIZR-197904;VPI-0;112,30000
VPIZR-197905;VPI-0;112,30000
VPIZR-197906;VPI-0;112,80000
VPIZR-197907;VPI-0;113,80000
VPIZR-197908;VPI-0;113,80000
VPIZR-197909;VPI-0;113,90000
VPIZR-197910;VPI-0;114,50000
VPIZR-197911;VPI-0;115,00000
VPIZR-197912;VPI-0;115,60000
VPIZR-1979;VPI-0;113,30000
VPIZR-198001;VPI-0;117,00000
VPIZR-198002;VPI-0;118,00000
VPIZR-198003;VPI-0;118,40000
VPIZR-198004;VPI-0;118,90000
VPIZR-198005;VPI-0;119,50000
VPIZR-198006;VPI-0;120,80000
VPIZR-198007;VPI-0;121,30000
VPIZR-198008;VPI-0;122,10000
VPIZR-198009;VPI-0;121,80000
VPIZR-198010;VPI-0;122,20000
VPIZR-198011;VPI-0;122,30000
VPIZR-198012;VPI-0;123,30000
VPIZR-1980;VPI-0;120,50000
VPIZR-198101;VPI-0;125,20000
VPIZR-198102;VPI-0;125,90000
VPIZR-198103;VPI-0;126,90000
VPIZR-198104;VPI-0;127,70000
VPIZR-198105;VPI-0;127,60000
VPIZR-198106;VPI-0;128,40000
VPIZR-198107;VPI-0;129,20000
VPIZR-198108;VPI-0;129,90000
VPIZR-198109;VPI-0;130,20000
VPIZR-198110;VPI-0;131,00000
VPIZR-198111;VPI-0;130,80000
VPIZR-198112;VPI-0;131,20000
VPIZR-1981;VPI-0;128,70000
VPIZR-198201;VPI-0;132,90000
VPIZR-198202;VPI-0;133,40000
VPIZR-198203;VPI-0;134,50000
VPIZR-198204;VPI-0;135,10000
VPIZR-198205;VPI-0;135,30000
VPIZR-198206;VPI-0;136,00000
VPIZR-198207;VPI-0;136,30000
VPIZR-198208;VPI-0;136,50000
VPIZR-198209;VPI-0;136,60000
VPIZR-198210;VPI-0;137,00000
VPIZR-198211;VPI-0;137,00000
VPIZR-198212;VPI-0;137,40000
VPIZR-1982;VPI-0;135,70000
VPIZR-198301;VPI-0;138,30000
VPIZR-198302;VPI-0;138,90000
VPIZR-198303;VPI-0;139,20000
VPIZR-198304;VPI-0;139,10000
VPIZR-198305;VPI-0;138,70000
VPIZR-198306;VPI-0;139,40000
VPIZR-198307;VPI-0;140,10000
VPIZR-198308;VPI-0;140,90000
VPIZR-198309;VPI-0;141,10000
VPIZR-198310;VPI-0;141,90000
VPIZR-198311;VPI-0;142,10000
VPIZR-198312;VPI-0;142,60000
VPIZR-1983;VPI-0;140,20000
VPIZR-198401;VPI-0;146,10000
VPIZR-198402;VPI-0;146,80000
VPIZR-198403;VPI-0;147,30000
VPIZR-198404;VPI-0;147,30000
VPIZR-198405;VPI-0;146,90000
VPIZR-198406;VPI-0;148,20000
VPIZR-198407;VPI-0;147,90000
VPIZR-198408;VPI-0;149,30000
VPIZR-198409;VPI-0;149,00000
VPIZR-198410;VPI-0;149,30000
VPIZR-198411;VPI-0;149,70000
VPIZR-198412;VPI-0;149,80000
VPIZR-1984;VPI-0;148,10000
VPIZR-198501;VPI-0;151,00000
VPIZR-198502;VPI-0;151,80000
VPIZR-198503;VPI-0;152,60000
VPIZR-198504;VPI-0;152,90000
VPIZR-198505;VPI-0;152,50000
VPIZR-198506;VPI-0;153,00000
VPIZR-198507;VPI-0;153,10000
VPIZR-198508;VPI-0;153,20000
VPIZR-198509;VPI-0;153,30000
VPIZR-198510;VPI-0;153,30000
VPIZR-198511;VPI-0;153,60000
VPIZR-198512;VPI-0;154,00000
VPIZR-1985;VPI-0;152,90000
VPIZR-198601;VPI-0;155,40000
VPIZR-198602;VPI-0;155,60000
VPIZR-198603;VPI-0;155,30000
VPIZR-198604;VPI-0;155,00000
VPIZR-198605;VPI-0;154,80000
VPIZR-198606;VPI-0;155,30000
VPIZR-198607;VPI-0;155,40000
VPIZR-198608;VPI-0;155,80000
VPIZR-198609;VPI-0;155,90000
VPIZR-198610;VPI-0;155,80000
VPIZR-198611;VPI-0;155,50000
VPIZR-198612;VPI-0;155,70000
VPIZR-1986;VPI-0;155,50000
VPIZR-198701;VPI-0;156,00000
VPIZR-198702;VPI-0;155,80000
VPIZR-198703;VPI-0;156,10000
VPIZR-198704;VPI-0;156,40000
VPIZR-198705;VPI-0;156,90000
VPIZR-198706;VPI-0;158,30000
VPIZR-198707;VPI-0;159,10000
VPIZR-198708;VPI-0;159,90000
VPIZR-198709;VPI-0;158,90000
VPIZR-198710;VPI-0;158,60000
VPIZR-198711;VPI-0;158,10000
VPIZR-198712;VPI-0;158,30000
VPIZR-1987;VPI-0;157,70000
VPIZR-198801;VPI-0;158,90000
VPIZR-198802;VPI-0;159,20000
VPIZR-198803;VPI-0;159,70000
VPIZR-198804;VPI-0;159,90000
VPIZR-198805;VPI-0;159,50000
VPIZR-198806;VPI-0;160,50000
VPIZR-198807;VPI-0;162,30000
