Zeitraum der Erhebung;Indizes;Coicop 5-Steller;Messzahl Berichtsmonat/ Jahresdurchschnitt;Messzahl Vormonat;Messzahl Vorjahresmonat/ Vorjahresdurchschnitt;Prozent Vormonat;Prozent Vorjahresmonat/ Vorjahr;Einfluss Vormonat;Einfluss Vorjahresmonat;Gewicht Berichtsmonat
C-VPIZR-0;C-VPI1-0;C-VPI5-0;F-VPIMZBM;F-VPIMZVM;F-VPIMZVJM;F-VPIPZVM;F-VPIPZVJM;F-VPIEFVM;F-VPIEFVJM;F-VPIGEWBM
VPIZR-196701;VPI-0;;103,3;;;;;;;
VPIZR-196702;VPI-0;;103,2;;;;;;;
VPIZR-196703;VPI-0;;102,9;;;;;;;
VPIZR-196704;VPI-0;;103;;;;;;;
VPIZR-196705;VPI-0;;103,5;;;;;;;
VPIZR-196706;VPI-0;;103,3;;;;;;;
VPIZR-196707;VPI-0;;104;;;;;;;
VPIZR-196708;VPI-0;;104,2;;;;;;;
VPIZR-196709;VPI-0;;104,9;;;;;;;
VPIZR-196710;VPI-0;;105,1;;;;;;;
VPIZR-196711;VPI-0;;105,1;;;;;;;
VPIZR-196712;VPI-0;;105,3;;;;;;;
VPIZR-1967;VPI-0;;104;;;;;;;
VPIZR-196801;VPI-0;;105,4;;;;;;;
VPIZR-196802;VPI-0;;105,7;;;;;;;
VPIZR-196803;VPI-0;;106,1;;;;;;;
VPIZR-196804;VPI-0;;106,1;;;;;;;
VPIZR-196805;VPI-0;;105,8;;;;;;;
VPIZR-196806;VPI-0;;106,5;;;;;;;
VPIZR-196807;VPI-0;;106,8;;;;;;;
VPIZR-196808;VPI-0;;107,3;;;;;;;
VPIZR-196809;VPI-0;;107,4;;;;;;;
VPIZR-196810;VPI-0;;108,3;;;;;;;
VPIZR-196811;VPI-0;;108,4;;;;;;;
VPIZR-196812;VPI-0;;108,5;;;;;;;
VPIZR-1968;VPI-0;;106,9;;;;;;;
VPIZR-196901;VPI-0;;108,9;;;;;;;
VPIZR-196902;VPI-0;;108,9;;;;;;;
VPIZR-196903;VPI-0;;108,9;;;;;;;
VPIZR-196904;VPI-0;;109,3;;;;;;;
VPIZR-196905;VPI-0;;109,3;;;;;;;
VPIZR-196906;VPI-0;;110;;;;;;;
VPIZR-196907;VPI-0;;110,7;;;;;;;
VPIZR-196908;VPI-0;;110,6;;;;;;;
VPIZR-196909;VPI-0;;110,6;;;;;;;
VPIZR-196910;VPI-0;;111;;;;;;;
VPIZR-196911;VPI-0;;111,4;;;;;;;
VPIZR-196912;VPI-0;;112,2;;;;;;;
VPIZR-1969;VPI-0;;110,2;;;;;;;
VPIZR-197001;VPI-0;;113,1;;;;;;;
VPIZR-197002;VPI-0;;113;;;;;;;
VPIZR-197003;VPI-0;;113,1;;;;;;;
VPIZR-197004;VPI-0;;113,4;;;;;;;
VPIZR-197005;VPI-0;;113,9;;;;;;;
VPIZR-197006;VPI-0;;115,1;;;;;;;
VPIZR-197007;VPI-0;;115,8;;;;;;;
VPIZR-197008;VPI-0;;115,7;;;;;;;
VPIZR-197009;VPI-0;;115,9;;;;;;;
VPIZR-197010;VPI-0;;116,4;;;;;;;
VPIZR-197011;VPI-0;;116,8;;;;;;;
VPIZR-197012;VPI-0;;117,4;;;;;;;
VPIZR-1970;VPI-0;;115;;;;;;;
VPIZR-197101;VPI-0;;117,8;;;;;;;
VPIZR-197102;VPI-0;;118;;;;;;;
VPIZR-197103;VPI-0;;118,1;;;;;;;
VPIZR-197104;VPI-0;;118,8;;;;;;;
VPIZR-197105;VPI-0;;118,7;;;;;;;
VPIZR-197106;VPI-0;;120;;;;;;;
VPIZR-197107;VPI-0;;120,9;;;;;;;
VPIZR-197108;VPI-0;;121,7;;;;;;;
VPIZR-197109;VPI-0;;122,1;;;;;;;
VPIZR-197110;VPI-0;;122,6;;;;;;;
VPIZR-197111;VPI-0;;122,7;;;;;;;
VPIZR-197112;VPI-0;;123,1;;;;;;;
VPIZR-1971;VPI-0;;120,4;;;;;;;
VPIZR-197201;VPI-0;;124,1;;;;;;;
VPIZR-197202;VPI-0;;124,7;;;;;;;
VPIZR-197203;VPI-0;;125,4;;;;;;;
VPIZR-197204;VPI-0;;125,5;;;;;;;
VPIZR-197205;VPI-0;;125,8;;;;;;;
VPIZR-197206;VPI-0;;127,8;;;;;;;
VPIZR-197207;VPI-0;;128,3;;;;;;;
VPIZR-197208;VPI-0;;129,3;;;;;;;
VPIZR-197209;VPI-0;;129,9;;;;;;;
VPIZR-197210;VPI-0;;131,2;;;;;;;
VPIZR-197211;VPI-0;;131,8;;;;;;;
VPIZR-197212;VPI-0;;132,5;;;;;;;
VPIZR-1972;VPI-0;;128;;;;;;;
VPIZR-197301;VPI-0;;134,1;;;;;;;
VPIZR-197302;VPI-0;;134,7;;;;;;;
VPIZR-197303;VPI-0;;135;;;;;;;
VPIZR-197304;VPI-0;;135,5;;;;;;;
VPIZR-197305;VPI-0;;136;;;;;;;
VPIZR-197306;VPI-0;;137;;;;;;;
VPIZR-197307;VPI-0;;137,4;;;;;;;
VPIZR-197308;VPI-0;;138,3;;;;;;;
VPIZR-197309;VPI-0;;138,4;;;;;;;
VPIZR-197310;VPI-0;;140,4;;;;;;;
VPIZR-197311;VPI-0;;142,3;;;;;;;
VPIZR-197312;VPI-0;;142,9;;;;;;;
VPIZR-1973;VPI-0;;137,7;;;;;;;
VPIZR-197401;VPI-0;;145;;;;;;;
VPIZR-197402;VPI-0;;146;;;;;;;
VPIZR-197403;VPI-0;;147,1;;;;;;;
VPIZR-197404;VPI-0;;148,7;;;;;;;
VPIZR-197405;VPI-0;;149,1;;;;;;;
VPIZR-197406;VPI-0;;151;;;;;;;
VPIZR-197407;VPI-0;;151,2;;;;;;;
VPIZR-197408;VPI-0;;152;;;;;;;
VPIZR-197409;VPI-0;;152,4;;;;;;;
VPIZR-197410;VPI-0;;154,4;;;;;;;
VPIZR-197411;VPI-0;;155,7;;;;;;;
VPIZR-197412;VPI-0;;156,7;;;;;;;
VPIZR-1974;VPI-0;;150,8;;;;;;;
VPIZR-197501;VPI-0;;158,4;;;;;;;
VPIZR-197502;VPI-0;;160;;;;;;;
VPIZR-197503;VPI-0;;160,7;;;;;;;
VPIZR-197504;VPI-0;;161,5;;;;;;;
VPIZR-197505;VPI-0;;161,9;;;;;;;
VPIZR-197506;VPI-0;;163,6;;;;;;;
VPIZR-197507;VPI-0;;164,7;;;;;;;
VPIZR-197508;VPI-0;;165,4;;;;;;;
VPIZR-197509;VPI-0;;165,7;;;;;;;
VPIZR-197510;VPI-0;;166,3;;;;;;;
VPIZR-197511;VPI-0;;166,6;;;;;;;
VPIZR-197512;VPI-0;;167,3;;;;;;;
VPIZR-1975;VPI-0;;163,5;;;;;;;
VPIZR-197601;VPI-0;;169,9;;;;;;;
VPIZR-197602;VPI-0;;171,7;;;;;;;
VPIZR-197603;VPI-0;;173,2;;;;;;;
VPIZR-197604;VPI-0;;174;;;;;;;
VPIZR-197605;VPI-0;;174;;;;;;;
VPIZR-197606;VPI-0;;175,8;;;;;;;
VPIZR-197607;VPI-0;;175,6;;;;;;;
VPIZR-197608;VPI-0;;177,7;;;;;;;
VPIZR-197609;VPI-0;;177,6;;;;;;;
VPIZR-197610;VPI-0;;178,3;;;;;;;
VPIZR-197611;VPI-0;;178,5;;;;;;;
VPIZR-197612;VPI-0;;179,4;;;;;;;
VPIZR-1976;VPI-0;;175,5;;;;;;;
VPIZR-197701;VPI-0;;103,5;;;;;;;
VPIZR-197702;VPI-0;;104,1;;;;;;;
VPIZR-197703;VPI-0;;104,4;;;;;;;
VPIZR-197704;VPI-0;;104,6;;;;;;;
VPIZR-197705;VPI-0;;104,9;;;;;;;
VPIZR-197706;VPI-0;;105,9;;;;;;;
VPIZR-197707;VPI-0;;106,3;;;;;;;
VPIZR-197708;VPI-0;;106,4;;;;;;;
VPIZR-197709;VPI-0;;106,2;;;;;;;
VPIZR-197710;VPI-0;;106,7;;;;;;;
VPIZR-197711;VPI-0;;106,2;;;;;;;
VPIZR-197712;VPI-0;;106,5;;;;;;;
VPIZR-1977;VPI-0;;105,5;;;;;;;
VPIZR-197801;VPI-0;;107,6;;;;;;;
VPIZR-197802;VPI-0;;108,1;;;;;;;
VPIZR-197803;VPI-0;;108,4;;;;;;;
VPIZR-197804;VPI-0;;108,7;;;;;;;
VPIZR-197805;VPI-0;;108,9;;;;;;;
VPIZR-197806;VPI-0;;109,3;;;;;;;
VPIZR-197807;VPI-0;;109,5;;;;;;;
VPIZR-197808;VPI-0;;110,2;;;;;;;
VPIZR-197809;VPI-0;;109,8;;;;;;;
VPIZR-197810;VPI-0;;110;;;;;;;
VPIZR-197811;VPI-0;;110,1;;;;;;;
VPIZR-197812;VPI-0;;110,4;;;;;;;
VPIZR-1978;VPI-0;;109,3;;;;;;;
VPIZR-197901;VPI-0;;111,4;;;;;;;
VPIZR-197902;VPI-0;;112;;;;;;;
VPIZR-197903;VPI-0;;112,2;;;;;;;
VPIZR-197904;VPI-0;;112,3;;;;;;;
