Year;Month;VPI
1967;1;103,3
1967;2;103,2
1967;3;102,9
1967;4;103
1967;5;103,5
1967;6;103,3
1967;7;104
1967;8;104,2
1967;9;104,9
1967;10;105,1
1967;11;105,1
1967;12;105,3
1967;13;104
1968;1;105,4
1968;2;105,7
1968;3;106,1
1968;4;106,1
1968;5;105,8
1968;6;106,5
1968;7;106,8
1968;8;107,3
1968;9;107,4
1968;10;108,3
1968;11;108,4
1968;12;108,5
1968;13;106,9
1969;1;108,9
1969;2;108,9
1969;3;108,9
1969;4;109,3
1969;5;109,3
1969;6;110
1969;7;110,7
1969;8;110,6
1969;9;110,6
1969;10;111
1969;11;111,4
1969;12;112,2
1969;13;110,2
1970;1;113,1
1970;2;113
1970;3;113,1
1970;4;113,4
1970;5;113,9
1970;6;115,1
1970;7;115,8
1970;8;115,7
1970;9;115,9
1970;10;116,4
1970;11;116,8
1970;12;117,4
1970;13;115
1971;1;117,8
1971;2;118
1971;3;118,1
1971;4;118,8
1971;5;118,7
1971;6;120
1971;7;120,9
1971;8;121,7
1971;9;122,1
1971;10;122,6
1971;11;122,7
1971;12;123,1
1971;13;120,4
1972;1;124,1
1972;2;124,7
1972;3;125,4
1972;4;125,5
1972;5;125,8
1972;6;127,8
1972;7;128,3
1972;8;129,3
1972;9;129,9
1972;10;131,2
1972;11;131,8
1972;12;132,5
1972;13;128
1973;1;134,1
1973;2;134,7
1973;3;135
1973;4;135,5
1973;5;136
1973;6;137
1973;7;137,4
1973;8;138,3
1973;9;138,4
1973;10;140,4
1973;11;142,3
1973;12;142,9
1973;13;137,7
1974;1;145
1974;2;146
1974;3;147,1
1974;4;148,7
1974;5;149,1
1974;6;151
1974;7;151,2
1974;8;152
1974;9;152,4
1974;10;154,4
1974;11;155,7
1974;12;156,7
1974;13;150,8
1975;1;158,4
1975;2;160
1975;3;160,7
1975;4;161,5
1975;5;161,9
1975;6;163,6
1975;7;164,7
1975;8;165,4
1975;9;165,7
1975;10;166,3
1975;11;166,6
1975;12;167,3
1975;13;163,5
1976;1;169,9
1976;2;171,7
1976;3;173,2
1976;4;174
1976;5;174
1976;6;175,8
1976;7;175,6
1976;8;177,7
1976;9;177,6
1976;10;178,3
1976;11;178,5
1976;12;179,4
1976;13;175,5
1977;1;181,6
1977;2;182,7
1977;3;183,2
1977;4;183,6
1977;5;184,1
1977;6;185,9
1977;7;186,6
1977;8;186,7
1977;9;186,4
1977;10;187,3
1977;11;186,4
1977;12;186,9
1977;13;185,1
1978;1;188,8
1978;2;189,7
1978;3;190,2
1978;4;190,8
1978;5;191,1
1978;6;191,8
1978;7;192,2
1978;8;193,4
1978;9;192,7
1978;10;193,1
1978;11;193,2
1978;12;193,8
1978;13;191,7
1979;1;195,5
1979;2;196,6
1979;3;196,9
1979;4;197,1
1979;5;197,1
1979;6;198
1979;7;199,7
1979;8;199,7
1979;9;199,9
1979;10;200,9
1979;11;201,8
1979;12;202,9
1979;13;198,8
1980;1;205,3
1980;2;207,1
1980;3;207,8
1980;4;208,7
1980;5;209,7
1980;6;212
1980;7;212,9
1980;8;214,3
1980;9;213,8
1980;10;214,5
1980;11;214,6
1980;12;216,4
1980;13;211,4
1981;1;219,7
1981;2;221
1981;3;222,7
1981;4;224,1
1981;5;223,9
1981;6;225,3
1981;7;226,7
1981;8;228
1981;9;228,5
1981;10;229,9
1981;11;229,6
1981;12;230,3
1981;13;225,8
1982;1;233,2
1982;2;234,1
1982;3;236
1982;4;237,1
1982;5;237,5
1982;6;238,7
1982;7;239,2
1982;8;239,6
1982;9;239,7
1982;10;240,4
1982;11;240,4
1982;12;241,1
1982;13;238,1
1983;1;242,7
1983;2;243,8
1983;3;244,3
1983;4;244,1
1983;5;243,4
1983;6;244,6
1983;7;245,9
1983;8;247,3
1983;9;247,6
1983;10;249
1983;11;249,4
1983;12;250,3
1983;13;246
1984;1;256,4
1984;2;257,6
1984;3;258,5
1984;4;258,5
1984;5;257,8
1984;6;260,1
1984;7;259,6
1984;8;262
1984;9;261,5
1984;10;262
1984;11;262,7
1984;12;262,9
1984;13;260
1985;1;265
1985;2;266,4
1985;3;267,8
1985;4;268,3
1985;5;267,6
1985;6;268,5
1985;7;268,7
1985;8;268,9
1985;9;269
1985;10;269
1985;11;269,6
1985;12;270,3
1985;13;268,3
1986;1;272,7
1986;2;273,1
1986;3;272,6
1986;4;272
1986;5;271,7
1986;6;272,6
1986;7;272,7
1986;8;273,4
1986;9;273,6
1986;10;273,4
1986;11;272,9
1986;12;273,3
1986;13;272,8
1987;1;273,6
1987;2;273,3
1987;3;273,9
1987;4;274,4
1987;5;275,3
1987;6;277,7
1987;7;279,1
1987;8;280,4
1987;9;278,8
1987;10;278,3
1987;11;277,4
1987;12;277,7
1987;13;276,7
1988;1;278,8
1988;2;279,3
1988;3;280,2
1988;4;280,4
1988;5;279,9
1988;6;281,5
1988;7;284,8
1988;8;285,6
1988;9;284
1988;10;283,2
1988;11;282,9
1988;12;282,9
1988;13;282
1989;1;284,8
1989;2;286,2
1989;3;286,4
1989;4;287,3
1989;5;287,8
1989;6;288,6
1989;7;292,2
1989;8;293,3
1989;9;291,1
1989;10;291,1
1989;11;290,5
1989;12;291,1
1989;13;289,2
1990;1;293
1990;2;295,2
1990;3;295,4
1990;4;296,3
1990;5;296,5
1990;6;297,1
1990;7;300,9
1990;8;302,5
1990;9;302
1990;10;302,3
1990;11;301,2
1990;12;301,2
1990;13;298,6
1991;1;302,8
1991;2;305
1991;3;305,8
1991;4;306,1
1991;5;306,4
1991;6;308,3
1991;7;311,8
1991;8;313,7
1991;9;311,5
1991;10;310,4
1991;11;311
1991;12;310,4
1991;13;308,6
1992;1;314,5
1992;2;317,5
1992;3;318,4
1992;4;318,4
1992;5;319,4
1992;6;320,5
1992;7;324,4
1992;8;325,7
1992;9;323,5
1992;10;323
1992;11;323,3
1992;12;323,5
1992;13;321
1993;1;327,4
1993;2;329,3
1993;3;330,6
1993;4;330,6
1993;5;331,2
1993;6;332
1993;7;335,8
1993;8;336,9
1993;9;334,5
1993;10;334,2
1993;11;334,5
1993;12;335
1993;13;332,7
1994;1;337,5
1994;2;339,6
1994;3;340,7
1994;4;340,5
1994;5;341
1994;6;341,5
1994;7;345,4
1994;8;347,5
1994;9;344,8
1994;10;344
1994;11;343,7
1994;12;343,7
1994;13;342,5
1995;1;346,2
1995;2;347,8
1995;3;348,9
1995;4;349,2
1995;5;349,2
1995;6;350,5
1995;7;353
1995;8;354,9
1995;9;351,6
1995;10;350,5
1995;11;350,3
1995;12;350
1995;13;350,2
1996;1;351,9
1996;2;353,5
1996;3;355,2
1996;4;354,9
1996;5;354,4
1996;6;356,3
1996;7;359,6
1996;8;361,5
1996;9;358,7
1996;10;357,9
1996;11;358,2
1996;12;358,2
1996;13;356,7
1997;1;359,2
1997;2;360,6
1997;3;361
1997;4;361
1997;5;361,3
1997;6;361,3
1997;7;361,3
1997;8;361,3
1997;9;361,3
1997;10;362,4
1997;11;362,4
1997;12;363,1
1997;13;361,4
1998;1;363,5
1998;2;364,2
1998;3;364,5
1998;4;365,3
1998;5;364,9
1998;6;364,5
1998;7;364,5
1998;8;364,5
1998;9;364,5
1998;10;364,9
1998;11;365,3
1998;12;365,6
1998;13;364,7
1999;1;365,3
1999;2;366
1999;3;366
1999;4;366
1999;5;366,7
1999;6;366
1999;7;366
1999;8;366,3
1999;9;366,3
1999;10;367,8
1999;11;368,1
1999;12;370,6
1999;13;366,8
2000;1;369,5
2000;2;372
2000;3;373,1
2000;4;372,8
2000;5;373,1
2000;6;376
2000;7;376,3
2000;8;376,3
2000;9;377,4
2000;10;378,1
2000;11;379,5
2000;12;380,2
2000;13;375,4
2001;1;381
2001;2;382,2
2001;3;382,9
2001;4;384,8
2001;5;385,5
2001;6;386,3
2001;7;386,7
2001;8;385,9
2001;9;387
2001;10;387,4
2001;11;387
2001;12;387,8
2001;13;385,4
2002;1;388,9
2002;2;389,3
2002;3;390
2002;4;391,5
2002;5;392,7
2002;6;393
2002;7;392,7
2002;8;393,4
2002;9;393,4
2002;10;394,2
2002;11;393,8
2002;12;394,9
2002;13;392,3
2003;1;395,7
2003;2;396
2003;3;397,2
2003;4;396,8
2003;5;396,8
2003;6;397,5
2003;7;397,2
2003;8;398,3
2003;9;399,1
2003;10;398,3
2003;11;399,1
2003;12;399,8
2003;13;397,7
2004;1;400,2
2004;2;401,7
2004;3;403,2
2004;4;403,2
2004;5;405,1
2004;6;406,6
2004;7;405,8
2004;8;407,3
2004;9;407,3
2004;10;408,8
2004;11;409,6
2004;12;411,4
2004;13;405,9
2005;1;411,8
2005;2;412,9
2005;3;414,8
2005;4;413,7
2005;5;414,4
2005;6;415,9
2005;7;414,8
2005;8;415,6
2005;9;417,1
2005;10;417,1
2005;11;416,3
2005;12;417,8
2005;13;415,2
2006;1;416,9
2006;2;418,1
2006;3;419,4
2006;4;421,4
2006;5;421,8
2006;6;422,3
2006;7;421,8
2006;8;423,1
2006;9;422,3
2006;10;421,8
2006;11;422,3
2006;12;423,5
2006;13;421,2
2007;1;423,5
2007;2;424,7
2007;3;426,8
2007;4;428,9
2007;5;430,1
2007;6;430,6
2007;7;430,6
2007;8;430,1
2007;9;431
2007;10;433,5
2007;11;435,5
2007;12;438,9
2007;13;430,4
2008;1;437,2
2008;2;438,5
2008;3;441,8
2008;4;443
2008;5;445,9
2008;6;447,2
2008;7;446,8
2008;8;445,9
2008;9;447,2
2008;10;446,8
2008;11;445,5
2008;12;444,7
2008;13;444,2
